LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
6678	R.D. Suttkus	Suttkus	R.D. & M.G. Suttkus	RDS 529	1948	5/7/1948
6678	M.G. Suttkus	Suttkus	R.D. & M.G. Suttkus	RDS 529	1948	5/7/1948
5456	R.D. Suttkus	Suttkus	"Suttkus, Cole & Gibbs"	RDS 1051	1949	12/6/1949
5456	Cole	Cole	"Suttkus, Cole & Gibbs"	RDS 1051	1949	12/6/1949
5456	Gibbs	Gibbs	"Suttkus, Cole & Gibbs"	RDS 1051	1949	12/6/1949
18156	R.D. Suttkus	Suttkus	R.D. Suttkus & Ichthy. Class '49.	RDS 902	1949	29/4/1949
18156	Ichthy. Class '49.	Class Group	R.D. Suttkus & Ichthy. Class '49.	RDS 902	1949	29/4/1949
1855	E.C Raney	Raney	"E.C Raney, R.D. Suttkus, Backus & Robins"	ECR 1765	1950	30/3/1950
1855	R.D. Suttkus	Suttkus	"E.C Raney, R.D. Suttkus, Backus & Robins"	ECR 1765	1950	30/3/1950
1855	Backus	Backus	"E.C Raney, R.D. Suttkus, Backus & Robins"	ECR 1765	1950	30/3/1950
1855	Robins	Robins	"E.C Raney, R.D. Suttkus, Backus & Robins"	ECR 1765	1950	30/3/1950
4477	M.G. Suttkus	Suttkus	M.G. Suttkus	MGS	1950	0/0/1950
5802	R.D. Suttkus	Suttkus	"R.D. Suttkus, C.F. Cole & H.E. Evans"	RDS 1799	1950	12/4/1950
5802	C.F. Cole	Cole	"R.D. Suttkus, C.F. Cole & H.E. Evans"	RDS 1799	1950	12/4/1950
5802	H.E. Evans	Evans	"R.D. Suttkus, C.F. Cole & H.E. Evans"	RDS 1799	1950	12/4/1950
5803	E.C. Raney	Raney	"E.C. Raney, R.D. Suttkus & Ichthy. Class"	RDS 1813	1950	21/5/1950
5803	R.D. Suttkus	Suttkus	"E.C. Raney, R.D. Suttkus & Ichthy. Class"	RDS 1813	1950	21/5/1950
5803	Ichthy. Class	Class Group	"E.C. Raney, R.D. Suttkus & Ichthy. Class"	RDS 1813	1950	21/5/1950
5804	E.C. Raney	Raney	"E.C. Raney, R.D. Suttkus & Ichthy. Class"	RDS 1814	1950	21/5/1950
5804	R.D. Suttkus	Suttkus	"E.C. Raney, R.D. Suttkus & Ichthy. Class"	RDS 1814	1950	21/5/1950
