NumberofOccurrences	CollectorName	LastNameGuess
7	V.C. Colbert (Trau)	Trau
5	M. Abbey	Abbey
4	M.A. Abbey	Abbey
3	M.A.Abbey	Abbey
16	D. Adkison	Adkison
5	C.Alegro	Alegro
1	Algero	Algero
3	C. Algero	Algero
1	C.Algero	Algero
17	Anderson	Anderson
1	M. Anderson	Anderson
63	P.K. Anderson	Anderson
1	R.Anderson	Anderson
10	Andersson	Andersson
51	M. Andersson	Andersson
1	M.Andersson	Andersson
1	Ansel	Ansel
1	A.A. Arata	Arata
2	Archer	Archer
1	Atkinson	Atkinson
1	T.P. Atkinson	Atkinson
2	Backus	Backus
7	Baker	Baker
52	Barbour	Barbour
6	C.Barbour	Barbour
43	C.D. Barbour	Barbour
1	CD Barbour	Barbour
2	Barclay	Barclay
4	M. Barclay	Barclay
1	Bardon	Bardon
45	Barkuloo	Barkuloo
18	J. Barkuloo	Barkuloo
2	J.Barkuloo	Barkuloo
38	J.M. Barkuloo	Barkuloo
1	R. Barrett	Barrett
3	Barry	Barry
15	Bart	Bart
20	H. Bart Jr.	Bart
1	H.L. Bart	Bart
1	H.L. Bart Jr.	Bart
1	Bartizal	Bartizal
1	J.F. Bartizal Jr.	Bartizal
1	Bechler	Bechler
7	D. Bechler	Bechler
41	Beckham	Beckham
6	E.C. Beckham	Beckham
30	Berra	Berra
6	F.H. Berry	Berry
3	Bertoniere	Bertoniere
1	Bigger	Bigger
1	J. Bigger	Bigger
6	J.Bigger	Bigger
10	Biggs	Biggs
12	Environmental Biology	Biology
6	A. Black	Black
8	A.Black	Black
19	Black	Black
14	Blackwell	Blackwell
1	M. Blackwell	Blackwell
49	M.M. Blackwell	Blackwell
1	Blanchard	Blanchard
5	Blank	Blank
1	S. Bledsoe	Bledsoe
2	S. Bogos	Bogos
1	Bohlke	Bohlke
3	D. Bohmhauer	Bohmhauer
2	Bortone	Bortone
1	Boschung	Boschung
3	Boswell	Boswell
2	B. Boultinghouse	Boultinghouse
2	Boultinghouse	Boultinghouse
1	Boy Scout Troop #22	Boy Scouts
1	Boy Scout Troop #22.	Boy Scouts
1	Boy Scouts of America	Boy Scouts
4	Boyer	Boyer
24	M.L. Brady	Brady
1	P.  Brady	Brady
9	P. Brady	Brady
1	P.Brady	Brady
